Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short,Number
Travel Morris,Sr.,MB,6-2,"Spring, TX",Spring,231,Florida International University,24312.0,Conference USA,www.fiu.edu,www.fiusports.com,FL,D-I,2024-25,FIU,CUSA,18
Sophia Mayo,Fr.,OH,6-2,"Indianapolis, IN",Perry Meridien,231,Florida International University,24312.0,Conference USA,www.fiu.edu,www.fiusports.com,FL,D-I,2024-25,FIU,CUSA,13
Courtney O'Brien,So.,OH,5-11,"Katy, TX",Cinco Ranch,231,Florida International University,24312.0,Conference USA,www.fiu.edu,www.fiusports.com,FL,D-I,2024-25,FIU,CUSA,16
Colby Lane,Sr.,L/DS,5-3,"Honolulu, HI",McKinley,231,Florida International University,24312.0,Conference USA,www.fiu.edu,www.fiusports.com,FL,D-I,2024-25,FIU,CUSA,5
Anna Feldkamp,Sr.,MB,6-1,"Olathe, KS",St. James,231,Florida International University,24312.0,Conference USA,www.fiu.edu,www.fiusports.com,FL,D-I,2024-25,FIU,CUSA,7
Emily Matias,So.,L,5-9,"Miami, FL",Westminster Christian,231,Florida International University,24312.0,Conference USA,www.fiu.edu,www.fiusports.com,FL,D-I,2024-25,FIU,CUSA,1
Kenna Phelan,So.,S,5-7,"Fayetteville, AR",Fayetteville,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,7
Laila N'Diaye,Jr.,MB,6-2,,,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,14
Kyleene Filimaua,So.,OH,6-1,"Bothell, WA",North Creek,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,12
Emery Dupes,Sr.,L,5-6,"Marietta, GA",Walton,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,5
Ashley Reynolds,So.,S,5-10,"Sarasota, FL",Pine View,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,16
Maddie Snider,So.,RS,6-4,"Land O' Lakes, FL",Sunlake,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,10
Audrey Koenig,Sr.,OH,6-3,"Wesley Chapel, FL",Bishop McLaughlin,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,4
Greta Gelumbickas,Jr.,MB,6-2,"Boca Raton, FL",Boca Raton,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,17
Ella Gaona,So.,L,5-4,"St. Louis, MO",Nerinx Hall,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,23
Khori Louis,Sr.,MB,6-3,"Tallahassee, FL",,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,8
Kelsey Perry,So.,MB,6-4,,,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,3
Loren Robertson,Sr.,S,5-8,,,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,0
Caylan Russ,Fr.,L,5-6,"Winter Garden, FL",Windermere,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,11
Johanna Sova,Fr.,MB,6-5,"Tallinn, Estonia",Gustav Adolf Grammar School,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,15
Taylor Head,Sr.,OH,5-10,,,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,1
Iane Henke,Jr.,OH,6-3,,,234,Florida State University,821.0,Atlantic Coast Conference,www.fsu.edu,www.seminoles.com,FL,D-I,2024-25,Florida St.,ACC,18
Audrey Hayes,Sr.,MB,6-0,"San Diego, CA",Torrey Pines,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,18
Lola Fernandez,So.,L,5-6,"Austin, TX",Westwood,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,2
Tatum Holderied,So.,MB,6-4,"Fairfield, CT",Fairfield Ludlowe,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,17
Erynn Sweeney,So.,RS,5-11,"Cypress, CA",Mater Dei,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,10
Mackenzie Colvin,Jr.,S,5-9,"Virginia Beach, VA",Frank W. Cox,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,8
Audrey Brown,Jr.,OH,6-1,"Birmingham, MI",Seaholm,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,9
Lorenza Rosenkilde,So.,MB,6-0,"Naerum, Denmark",H.C. Orsted Gymnasium,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,15
Ryan Naumann,Sr.,L/DS,5-8,"Austin, TX",Westlake,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,16
Mila Micunovic,Fr.,RS,6-4,"Riviera Beach, FL",William T. Dwyer,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,23
Whitley Moody,Sr.,OH,6-1,"San Jose, CA",Willow Glen,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,1
Ozge Ozaslan,Fr.,L,5-7,"Istanbul, Turkey",Girney College,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,12
Emma Stammeyer,Fr.,S,5-8,"Coralville, IA",Iowa City,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,6
Sophia Kuyn,Fr.,MB,6-1,"San Antonio, TX",Brandeis,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,11
Bridget Woodruff,Fr.,RS,6-0,"Tacoma, WA",Bellamire Prep,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,13
Lauryn Sweeney,Sr.,OH,6-1,"Cypress, CA",Mater Dei,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,14
Zoe Talabong,Jr.,OH,5-10,"Orlando, FL",Boone,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,5
Alexa Pyle,Jr.,MB,6-3,"Spring Branch, TX",Smithson Valley,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,4
Whitney Woodrow,So.,S,6-1,"Fisherville, KY",,236,Fordham University,820.0,Atlantic 10 Conference,www.fordham.edu,www.fordhamsports.com,NY,D-I,2024-25,Fordham,Atlantic 10,22
Chandler Parker,Sr.,RS,6-0,"Marietta, GA",Walton,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,1
Brooke Scheffler,So.,OPP,5-11,"Boone, NC",Watauga,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,6
Lily Barnhill,Sr.,OH,5-11,"Greensboro, NC",Homeschooled,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,19
Lauren Haynes,Jr.,OH,6-1,"Smyrna, GA",The Walker School,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,21
Ava Augustson,Sr.,OH,5-11,"Cary, NC",Cary,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,13
Kennedy Seekford,So.,L/DS,5-6,"Sterling, VA",Dominion,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,2
Emily Navarro,So.,S,5-10,"Davie, FL",Calvary Christian Academy,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,7
Lindsay Walch,So.,OH,6-2,"Palm City, FL",Jensen Beach,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,23
Grainne McGrath,Jr.,MB,6-0,"Knoxville, TN",Knoxville Catholic,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,4
Genevieve Perry,Sr.,MB,6-1,"Austin, TX",Westlake,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,16
Eva Wheeler,Jr.,S,5-11,"Cleveland, OH",Notre Dame-Cathedral Latin,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,10
Izzy Castelloe,So.,MB,6-1,"Charlotte, NC",South Mecklenburg,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,5
Campbell Woods,Fr.,OPP,6-2,"Glen Allen, VA",Hanover,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,9
Quinn Morrissey,Fr.,S,5-11,"Tampa, FL",H.B. Plant,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,11
Ashley Stein,Fr.,OH,6-1,"Easley, SC",Wren,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,12
Mary Beth Headley,Sr.,OH,5-11,"Newnan, GA",Newnan,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,15
Hayley Dionis,Fr.,L/DS,5-4,"Greenwich, CT",Greenwich,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,3
Rebekah Buchholz,Fr.,MB,6-1,"Lancaster, KY",West Jessamine,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,14
Tennyson Gorman,Fr.,MB,6-3,"Franklin, TN",Fred J. Page,244,Furman University,912.0,Southern Conference,www.furman.edu,www.furmanpaladins.com,SC,D-I,2024-25,Furman,SoCon,20
Rebecca Siedenburg,Jr.,S,5-7,"Wales, WI",Kettle Moraine,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,11
Morgan Hornaday,Jr.,S,5-10,"Greenfield, IN",Greenfield-Central,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,9
Molly Littlefield,So.,L,5-3,"Rockton, IL",Hononegah,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,4
Serena Kohler,Jr.,OH,5-10,"North Port, FL",Imagine School North Port,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,3
Kayla Hawkins,Sr.,L,5-9,"Durham, NC",North Raleigh Christian Academy,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,12
Kyla Davis,Sr.,MB,6-0,"Collierville, TN",Houston,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,5
Samia Sayd,Fr.,RS,-,"Falls Church, VA",Marshall,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,1
Milla Lugo,So.,MH,5-10,"Anderson, SC",,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,8
Isabel Sandstrum,Fr.,OH,-,"Wilmington, NC",E.A. Laney,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,14
Jessica Horn,Fr.,S,-,"Plainfield, IL",Joliet Catholic Academy,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,18
Alivia Rew,Sr.,MH,6-1,"Curtice, OH",Clay,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,16
Sloane Rooney,So.,S,5-10,"Bloomsbury, NJ",Phillipsburg,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,6
Cayton White,So.,OH,6-0,"Reno, NV",Damonte Ranch,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,13
Caroline Franklin,Fr.,RS,-,"Greenville, NC",Parrott Academy,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,15
Olivia Lefebvre,Fr.,S,-,"Mooresville, NC",Lake Norman,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,10
Maddy Fox,Fr.,MH,-,"Middletown, PA",Middletown,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,17
Isabella Raciunas,Jr.,OH,6-0,"Delray Beach, FL",Saint John Paul II Academy,1092,Gardner-Webb University,826.0,Big South Conference,gardner-webb.edu,gwusports.com/,NC,D-I,2024-25,Gardner-Webb,Big South,21
Damiana Bova-Ford,Jr.,S,5-9,"Plano, TX",Liberty,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,16
Autumn Martinez-Robinson,So.,L,5-8,"Lutz, FL",Tampa Prep,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,18
Rachel Larsen,Jr.,L,5-5,"Ashburn, VA",Flint Hill,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,6
Gabriella Gelfound,Jr.,S,6-2,"Lancaster, CA",Quartz Hill,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,15
Haley Graetz,Jr.,MB,6-0,"River Falls, WI",River Falls,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,2
Caroline Rodriguez,So.,OH,6-1,"Charlotte, NC",Charlotte Catholic,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,4
Ewelina Gacek,Sr.,OH,5-11,"Justice, IL",Marist,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,19
Chelsea Colter,So.,MB,6-1,"Fairfax, VA",Robinson Secondary,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,8
Camille Larkin,Sr.,MB,6-1,"Carson City, NV",Carson,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,20
Avery Booker,Fr.,OH,6-1,"Holly Springs, NC",Middle Creek,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,9
Jaylin Lott,Fr.,L/DS,5-4,"San Antonio, TX",Clark,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,10
Tuana Ozarpaci,Fr.,S,5-9,"Istanbul, Turkey",Okyanus,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,23
Mia Hazelett,Fr.,MB,6-1,"Apex, NC",Apex,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,1
Nina Mitchell,Fr.,MB,6-0,"Wichita, KS",Wichita Northwest,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,3
Nani Spaar,Sr.,OH,6-0,"Hilo, HI",Kamehameha,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,11
Camryn Weldon,So.,S,5-10,"Mckinney, TX",McKinney Boyd,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,13
Jordan Lucas,Fr.,L,5-5,"Pembroke, VA",Giles,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,17
Olyvia Kennedy,Sr.,RS,6-0,"Columbus, OH",Bishop Watterson,248,George Mason University,820.0,Atlantic 10 Conference,www.gmu.edu,www.gomason.com,VA,D-I,2024-25,George Mason,Atlantic 10,22
Salem Yohannes,Sr.,OH,5-10,"Woodbridge, VA",Osbourn Park,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,1
Haylee Brown,So.,OH,6-2,"Maricopa, AZ",Maricopa,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,21
MC Daubendiek,Sr.,OPP,6-2,"Omaha, NE",Marian,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,19
Loukia Papadakos,So.,MB,6-3,"Richmond Hill, Canada",Cardinal Gibbons,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,4
Grace Allread,Sr.,S,5-9,"Sylvan Lake, MI",,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,16
Brittany Myers,Sr.,OH,5-9,"Alexandria, VA",Edison,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,14
Penelope Hiepler,Jr.,L/DS,5-10,"Naperville, IL",,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,9
Dilara Elmacioglu,Jr.,S,6-0,"Gaziantep, Turkey",Okyanus,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,7
Cianna Tejada,Jr.,OH,6-1,"Fort Lauderdale, FL",Pine Crest Preparatory,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,6
Reilly Heinrich,Sr.,DS,5-6,"Georgetown, TX",Rouse,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,15
Kelsey Watkins,Sr.,MB,5-11,"Chicago, IL",Latin School of Chicago,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,3
Taylor Treahy,Fr.,RS,6-2,"Santa Clarita, CA",Sierra Canyon,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,13
Cayla Cogan,Fr.,OH,5-9,"Clarkston, MI",Clarkston,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,10
Riley Samuel,Fr.,MB,6-0,"Pittsburgh, PA",Oakland Catholic,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,11
Tessa de Albergaria,Fr.,L/DS,5-10,"Santa Barbara, CA",Santa Barbara,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,17
Abby Markworth,Fr.,S,6-0,"La Grange, IL",Lyons Township,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,23
Maeve Loughran,Jr.,S,6-0,"Los Angeles, CA",,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,8
Amina Robinson,Jr.,DS,5-6,"Detroit, MI",Farmington Hills Mercy,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,12
Sydney Stewart,Jr.,MB,6-1,"Philadelphia, PA",Friends' Central,249,George Washington University,820.0,Atlantic 10 Conference,www.gwu.edu,www.gwsports.com/index.html,DC,D-I,2024-25,George Washington,Atlantic 10,2
Berkeley Ploder,Fr.,MB,6-1,"Barrington, IL",Barrington,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,13
Juleigh Urbina,Fr.,S,5-10,"Lakeland, FL",McKeel,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,20
Taylor Mercado,Fr.,DS,5-2,"Hermosa Beach, CA",Long Beach Poly,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,3
Natalie Nguyen,Fr.,S,5-5,"Vienna, VA",Flint Hill,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,7
Dionna Mitchell,Fr.,OH,5-11,"Orlando, FL",Timber Creek,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,22
Grace Albaugh,So.,OH,6-0,"Jacksonville, FL",Bolles School,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,15
Maria Filippova,So.,OH,6-1,"Gaithersburg, MD",Northwest,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,2
Mary Grace Goyena,Sr.,OH,6-1,"Ellicott City, MD",Mount de Sales,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,11
Emily Wen,So.,S,5-10,"San Gabriel, CA",Polytechnic,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,10
Karis Park,Sr.,L,5-0,"Fairfax, VA",Chantilly,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,14
Mei Corricello,So.,DS,5-7,"Cupertino, CA",Lynbrook,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,12
Lilly Costigan,Sr.,S,6-2,"Fort Lauderdale, FL",Saint Thomas Aquinas,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,19
Makayla Serrett,Sr.,MB,6-3,"River Edge, NJ",River Dell,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,17
Giselle Williams,Sr.,OH,5-10,"Las Vegas, NV",Bishop Gorman,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,21
Vaughan Anoa'i,Jr.,MB,6-2,"Los Angeles, CA",Archer School for Girls,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,8
Minnie Purcell,Sr.,RS,6-3,"New York, NY",Convent of the Sacred Heart,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,18
Kamryn Lee-Caracci,So.,MB,6-1,"La Grange, IL",Lyons Township,251,Georgetown University,30184.0,Big East Conference,georgetown.edu,guhoyas.com,DC,D-I,2024-25,Georgetown,Big East,9
Makena Lim,Fr.,L,5-4,"Ladera Ranch, CA",St. Margaret's Episcopal School,257,University of Georgia,911.0,Southeastern Conference,www.uga.edu,www.georgiadogs.com,GA,D-I,2024-25,Georgia,SEC,5
Kaiya Tyson,So.,S,5-10,"Burlington, Canada",Corpus Christi Catholic Secondary School,257,University of Georgia,911.0,Southeastern Conference,www.uga.edu,www.georgiadogs.com,GA,D-I,2024-25,Georgia,SEC,4
Clara Brower,Sr.,S,5-9,"The Woodlands, TX",The Woodlands HS,257,University of Georgia,911.0,Southeastern Conference,www.uga.edu,www.georgiadogs.com,GA,D-I,2024-25,Georgia,SEC,12
Ana Julia Bleeker,So.,L/DS,5-9,"Windermere, FL",Windermere HS,257,University of Georgia,911.0,Southeastern Conference,www.uga.edu,www.georgiadogs.com,GA,D-I,2024-25,Georgia,SEC,9
