Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_id,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short,Number
Ashlyn Brookover,Jr.,S,5-10,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,22
Natalie Beer,Sr.,MH,6-1,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,17
Nina Conte,Fr.,DS,5-6,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,4
Morgan Johnson,Fr.,S,5-7,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,6
Laurell McClurkin,Fr.,MH,5-11,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,9
Kasie Meek,Fr.,OH,5-10,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,23
Caroline Mercer,Jr.,DS,5-4,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,19
Lexi Muck,Fr.,MH,6-1,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,20
Summer Lucks,Fr.,DS,5-2,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,11
Courtney Smith,Fr.,OH,6-0,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,21
Anna-Marie Petricevic,Fr.,OH,5-11,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,7
Sophia Johnson,Sr.,MH,6-1,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,16
Mandy Altsman,Jr.,S,5-7,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,10
Sarah Stephenson,So.,OH,5-10,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,18
Elisa Rugiero,Jr.,RS,5-9,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,14
Tayla Pascoe,Jr.,DS,5-5,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,5
Kay Lindenfelser,So.,DS,5-7,,,106,"Pennsylvania Western University, California",906.0,Pennsylvania State Athletic Conference,www.pennwest.edu,www.calvulcans.com,PA,D-II,2024-25,California (PA),PSAC,3
Emily Keohen,So.,S,5-8,"N Richland Hills, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,3
Shelby Rusch,Jr.,L,5-7,"Greeley, CO",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,9
Carsen Glaser,Sr.,OH,5-11,"Nixa, MO",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,16
Abigail Robinson,So.,L/DS,5-5,"Aubrey, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,4
Clarissa Galindo,Jr.,L,5-6,"El Paso, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,17
Tatum Gehring,Fr.,L,5-0,"Wylie, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,2
Haley Beggs,Fr.,MB,5-11,"Denton, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,5
Kayla Eggiman,Fr.,OH,5-8,"Bellevue, NE",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,6
Benedite Anuman,Fr.,MB,5-9,"Cedar Hill, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,12
Hailey Baker,Fr.,OH,5-9,"Rockwall, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,13
Rachael White,Jr.,S,5-8,"Keenesburg, CO",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,10
Zaria Jones,Fr.,OH,5-10,"Denton, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,7
Riley McFarland,Fr.,S,5-9,"Prosper, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,8
Jennifer Valdez,Jr.,MB,5-11,"El Paso, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,18
Rhayan Earl,So.,MB,5-9,"Arlington, TX",,996,Cameron University,868.0,Lone Star Conference,www.cameron.edu,cameronaggies.com,OK,D-II,2024-25,Cameron,Lone Star,1
Taylor Adams,Sr.,OH,5-10,"Covington, GA",Eastside,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,10
Madilyn Pardue,So.,S,6-0,"Kernersville, NC",East Forsyth,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,7
Blake Cherry,Sr.,OH,6-0,"Cookeville, TN",Cookeville,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,22
Kara Brantley,So.,L,5-1,"Knoxville, TN",West,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,2
Bennett McCombs,Sr.,L,5-5,"Mount Pleasant, SC",First Baptist School of Charleston,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,15
Cameron Batis,Sr.,L,5-5,"Joliet, IL",Joliet Catholic Academy,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,23
Paige Bussom,Jr.,OH,5-10,"Simpsonville, SC",Mauldin,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,1
Emerson Ahsmuhs,Fr.,OH,6-1,"Placentia, CA",El Dorado,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,5
Annie Dziczkowski,Fr.,OH,5-9,"Aiken, SC",South Aiken,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,8
Claire Bolton,Fr.,L/DS,5-4,"Morristown, TN",Morristown-Hamblen West,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,9
Nora Van Horn,Fr.,S,5-10,"Cary, NC",Athens Drive,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,13
Bahar Kurtulus,Sr.,RS,6-0,"Ankara, Turkey",TED Ankara College HS,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,17
Taylor Keeran,Sr.,MB,6-0,"Galion, OH",Galion,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,21
Maddie Hurst,Fr.,MB,5-11,"Blaine, TN",Grainger,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,11
Bella Cardello,Fr.,MB,6-0,"Fountain Hills, AZ",Notre Dame Prep,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,14
Grace Akard,Jr.,MB,6-0,"Maryville, TN",Maryville,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,19
Trinity Hafey,So.,L,5-9,"Grand Junction, CO",Fruita Monument,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,12
Blair Cherry,So.,S,6-0,"Knoxville, TN",Knoxville Catholic,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,3
Addie Smith,So.,S,5-10,"Jonesborough, TN",Providence Academy,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,4
McKenna Hall,Sr.,L,5-7,"Bristol, WI",Westosha Central,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,6
Kylee Oldenburger,Sr.,OH,5-9,"Cedar Rapids, IA",Prairie,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,16
Caroline Kantner,Fr.,L/DS,5-5,"Saint Petersburg, FL",Calvary Christian,1000,Carson-Newman University,12850.0,South Atlantic Conference,www.cn.edu,cneagles.com,TN,D-II,2024-25,Carson-Newman,SAC,18
Riley Hill,So.,L,5-0,"Salisbury, NC",East Rowan HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,22
Lauren Patrick,So.,MB,5-11,"Springboro, OH",Springboro HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,19
Natalie Rehm,Sr.,MB,6-1,"Fort Myers, FL",North Fort Myers HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,15
Lauren Bodell,Jr.,OH,6-1,"Woods Cross, UT",Woods Cross HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,26
Devyn Berg,Jr.,OH,5-10,"Boulder, CO",Fairview HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,13
Kelcie Love,Jr.,OH,5-10,"Mount Ulla, NC",West Rowan HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,28
Sofia Beard,So.,OH,5-9,"Charlottesville, VA",Western Albemarle HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,1
Katrina Misra,So.,OH,5-10,"Orlando, FL",Lake Nona HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,16
Kary Hales,Sr.,DS,5-4,"Salisbury, NC",Jesse Carson HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,4
Riannel Arevalo,Sr.,L,5-5,"Upland, CA",Upland HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,27
Katie Clark,Jr.,MB,6-1,"Yukon, OK",Yukon HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,2
Avery Fleshood,So.,L/DS,5-5,"Orlando, FL",Homeschool,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,11
Chloe Danielson,So.,MB,6-1,"Wesley Chapel, FL",Wesley Chapel HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,6
Haley Moffett,Jr.,S,5-8,"Mansfield, TX",Legacy HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,8
Kendall Jones,Fr.,MB,6-1,"Concord, NC",Central Cabarrus HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,23
Annica Kagle,Fr.,OPP,5-10,"Sewickley, PA",Quaker Valley HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,24
Sydney McCutcheon,Fr.,S,5-10,"Jefferson, GA",Jackson County HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,18
Jordan Duzenack,Jr.,OH,5-11,"Loveland, CO",Thompson Valley HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,9
Lillie Kate Rogers,Fr.,OH,5-11,"Hartwell, GA",Hart County HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,30
Sydney Wattles,So.,MB,5-11,"Winter Springs, FL",International Community School,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,17
Maddie Dayton,Fr.,MB,5-10,"Pilot Mountain, NC",East Surry HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,29
Jordyn Brown,Fr.,OH,6-0,"Benson, NC",South Johnston HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,5
Jordan Danielson,Sr.,RS,6-0,"Wesley Chapel, FL",Wesley Chapel HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,7
Rachel Gonzales,Sr.,OH,5-7,"Carson, CA",Valley Christian HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,3
Caitlyn Cindrich,Sr.,OH,6-0,"Cape Coral, FL",Ida S. Baker HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,14
Mya Benfield,So.,S,5-8,"Catawba, NC",Bandys HS,1001,Catawba College,12850.0,South Atlantic Conference,www.catawba.edu,www.catawbaathletics.com,NC,D-II,2024-25,Catawba,SAC,12
Greta Blakemore,Sr.,OH,5-10,"Lexington, OH",Lexington Christian Academy,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,5
Kaley Matney,Jr.,S,5-9,"Fort Wayne, IN",Carroll,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,3
Talia Felton,Sr.,DS,5-2,"Cleveland, OH",Lutheran West,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,1
Haley Koch,Jr.,MH,6-0,"Oconomowoc, WI",Oconomowoc,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,11
Cassi Shields,Jr.,OH,5-11,"Westminster, MD",Westminster,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,15
Paige Hale,Sr.,S,5-10,"New Carlisle, OH",Tecumseh,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,2
Emma Kuyper,So.,DS,5-4,"Fairview Park, OH",Westside Christian Academy,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,10
Cam Davenport,Jr.,OH,5-11,"Roanoke, VA",Hidden Valley,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,13
Janae Heegaard,Jr.,MH,6-3,"Sycamore, IL",Homeschool,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,4
Madelyn Hensley,So.,OH,6-2,"Dover, DE",Homeschool,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,12
Alicia Howard,Fr.,MH,6-3,"Vancouver, Canada",Yale Secondary,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,9
Abby Mainka,Fr.,OH,6-0,"Brighton, MI",Brighton,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,6
Sydney Low,So.,MH,6-3,"Canton, MI",Canton,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,16
Alivia Rutt,Fr.,L,5-4,"Elizabethtown, PA",Mount Calvary Christian,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,18
Allie Pilat,Fr.,OH,6-1,"Novi, MI",Plymouth Christian Academy,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,17
Sophia Miles,Jr.,DS,5-7,"Indianapolis, IN",Horizon Christian,30124,Cedarville University,30182.0,Great Midwest Athletic Conference,www.cedarville.edu,www.yellowjackets.cedarville.edu,OH,D-II,2024-25,Cedarville,G-MAC,8
Arley Anderson,Sr.,L/DS,5-7,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,4
Lauren Blake,So.,OH,6-0,"Indianola, IA",Indianola HS,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,2
Rachel Ziesman,Jr.,MB,6-0,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,11
Justine Bichelmeyer,Jr.,MB,6-2,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,18
Tiffany Little,Sr.,OH,5-10,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,17
Grace Winkelmann,Jr.,OH,5-9,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,1
Emma Wheeler,So.,L/DS,5-4,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,7
Emma Siron,So.,OH,5-9,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,12
Bree Messenger,Fr.,OH,5-9,"Poplar Grove, IL",Belvidere North HS,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,14
Maddie Wojdyla,Fr.,S,5-9,"Gurnee, IL",Warren Township HS,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,16
Brenna Kelly,Fr.,OH,5-7,"Aurora, CO",Grandview HS,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,13
Kayla Baer,Jr.,S,5-10,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,8
Shaye Koski,So.,OH,5-11,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,19
Grace Wagers,Fr.,MB,6-3,"Stilwell, KS",Blue Valley HS,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,20
Elinor Engel,So.,MB,6-0,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,6
Kirsten Harper,So.,DS,5-8,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,9
Gillian Bachali,So.,OH,5-10,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,3
Regan Willms,Sr.,S,5-8,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,21
Maya Fergerson,So.,OH,6-0,,,130,University of Central Missouri,883.0,Mid-America Intercollegiate Athletics Association,www.ucmo.edu,ucmathletics.com,MO,D-II,2024-25,Central Mo.,Mid-America Intercollegiate,5
Mikiah Perdue,Jr.,MB,5-9,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,15
Lari Migliorino,Jr.,MB,6-0,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,10
Kaitlyn Parrott,So.,DS,5-5,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,9
Addison Wimmer,Sr.,OH,5-10,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,3
Brynn Egger,Sr.,RS,6-1,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,8
Olivia Lowary,So.,DS,5-5,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,16
Riley Roberts,So.,S,5-10,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,11
Jenna Karp,Sr.,MB,6-0,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,7
Margo Sudzina,So.,S,5-6,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,13
Lindsey Houran,Jr.,S,5-5,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,1
Mallorie Koehn,Sr.,OH,5-11,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,4
Andrea Coady,Jr.,DS,5-5,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,5
Mikaela Garvin,Sr.,OPP,6-2,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,21
Sawyer Franz,So.,OH,5-8,,,1009,University of Central Oklahoma,883.0,Mid-America Intercollegiate Athletics Association,www.uco.edu,www.bronchosports.com,OK,D-II,2024-25,Central Okla.,Mid-America Intercollegiate,6
